name,team,pos,adp
Nikola Jokic,DEN,C,2.8
Victor Wembanyama,SA,C,1.8
Shai Gilgeous-Alexander,OKC,PG,6.2
Luka Doncic,LAL,PG SG,4.8
Cade Cunningham,DET,PG SG,8.6
Giannis Antetokounmpo,MIA,PF C,12.4
Anthony Edwards,MIN,PG SG,15.2
Jayson Tatum,BOS,SF PF,12.5
Tyrese Maxey,PHI,PG,11.2
Cooper Flagg,DAL,SG SF PF,11.0
Karl-Anthony Towns,NY,PF C,15.2
Donovan Mitchell,CLE,PG SG,19.8
Scottie Barnes,TOR,SF PF C,14.1
Kevin Durant,HOU,SG SF PF,15.5
Jalen Johnson,ATL,SF PF,16.5
Stephen Curry,GS,PG,23.7
Anthony Davis,WAS,PF C,24.9
Amen Thompson,HOU,PG SG,29.2
Trae Young,WAS,PG,26.6
Alperen Sengün,HOU,PF C,18.4
Jamal Murray,DEN,PG,18.6
Jalen Brunson,NY,PG,22.9
LaMelo Ball,MIN,PG,22.6
Devin Booker,PHO,PG SG,31.5
James Harden,CLE,PG SG,38.4
Josh Giddey,CHI,PG SG,29.9
Chet Holmgren,OKC,PF C,21.1
Domantas Sabonis,SAC,PF C,35.3
Jaylen Brown,PHI,SG SF PF,32.0
Evan Mobley,CLE,PF C,32.3
Bam Adebayo,MIA,PF C,33.9
Austin Reaves,LAL,PG SG SF,22.4
Kawhi Leonard,TOR,SG SF PF,20.0
LeBron James,PHI,SF PF,40.8
Jalen Williams,OKC,SF PF,44.8
Tyrese Haliburton,IND,PG SG,22.4
Paolo Banchero,ORL,PF,37.5
Pascal Siakam,IND,PF C,47.6
Derrick White,BOS,PG SG,45.0
Deni Avdija,POR,SG SF PF,35.3
Trey Murphy III,NO,SG SF,35.9
Jalen Duren,DET,C,31.4
Walker Kessler,LAL,C,29.6
Desmond Bane,ORL,SG SF,54.8
Joel Embiid,PHI,C,47.9
Franz Wagner,ORL,SF PF,53.9
Lauri Markkanen,UTA,SF PF,43.8
Jaren Jackson Jr.,UTA,PF C,54.5
Ivica Zubac,IND,C,68.3
Kon Knueppel,CHA,SG SF,37.1
Dyson Daniels,ATL,SG SF,62.8
OG Anunoby,NY,SF PF,61.4
Stephon Castle,SA,PG SG,56.2
Zion Williamson,NO,PF C,70.0
De'Aaron Fox,SA,PG,82.1
Michael Porter Jr.,BKN,SF PF,67.9
Onyeka Okongwu,ATL,C,56.9
Kyrie Irving,DAL,PG,48.8
Donovan Clingan,POR,C,40.7
Brandon Miller,CHA,SF PF,49.7
Darius Garland,LAC,PG,58.4
Tyler Herro,MIL,PG SG,61.8
Julius Randle,BKN,PF,64.1
Mikal Bridges,NY,SF PF,76.0
Ja Morant,POR,PG,91.3
Alexandre Sarr,WAS,C,60.9
Keyonte George,UTA,PG SG,52.4
Nickeil Alexander-Walker,ATL,PG SG,59.4
Jarrett Allen,CLE,C,77.9
Coby White,CHA,PG SG,87.1
Rudy Gobert,MIN,C,76.0
Damian Lillard,POR,PG,71.9
Naz Reid,CHA,PF C,64.9
Brandon Ingram,LAC,SG SF PF,75.1
Matas Buzelis,CHI,SF PF,59.0
Cameron Boozer,MEM,PF,62.5
Josh Hart,NY,SG SF,96.8
Dejounte Murray,NO,PG,66.6
Jaden McDaniels,MIN,SF,78.2
Paul George,BOS,SF PF,79.9
Myles Turner,MIL,C,95.5
Payton Pritchard,BOS,PG,76.8
Kel'el Ware,MIL,C,75.3
VJ Edgecombe,PHI,PG SG,67.0
Zach Edey,MEM,C,70.0
Ryan Rollins,MIL,PG SG,74.4
Dylan Harper,SA,PG SG,79.1
Miles Bridges,PHO,PF,98.4
Ausar Thompson,DET,SG SF PF,90.8
AJ Dybantsa,WAS,SF,75.9
Norman Powell,CHI,SG SF,93.8
Jalen Green,PHO,SG SF,109.3
Immanuel Quickley,TOR,PG SG,98.8
Caleb Wilson,CHI,PF,80.4
Derik Queen,NO,PF C,80.7
DeMar DeRozan,DEN,SF PF,116.6
Andrew Wiggins,MIA,SG SF PF,110.0
Nicolas Claxton,CHI,C,95.2
Kristaps Porzingis,GS,C,105.9
Ty Jerome,MEM,PG SG,95.9
Jabari Smith Jr.,HOU,PF C,98.2
Isaiah Hartenstein,OKC,C,102.5
Kevin Porter Jr.,MIL,PG SG,116.6
Zach LaVine,SAC,PG SG SF,120.0
CJ McCollum,ATL,PG SG,111.1
Jalen Suggs,ORL,PG SG,108.2
Mark Williams,PHO,C,102.9
Day'Ron Sharpe,BKN,C,91.9
Darryn Peterson,UTA,SG,93.0
Reed Sheppard,HOU,PG SG,115.6
RJ Barrett,TOR,SG SF PF,111.1
Luke Kennard,PHO,SG SF,87.5
Jakob Poeltl,TOR,C,121.8
John Collins,DET,PF C,118.6
Neemias Queta,BOS,C,104.9
Ayo Dosunmu,MIN,PG SG,106.4
Cedric Coward,MEM,SG SF,100.5
Keegan Murray,SAC,SF PF,121.7
Nikola Vucevic,ORL,C,111.9
Toumani Camara,POR,SF PF,119.4
Ajay Mitchell,OKC,PG SG,109.7
Andrew Nembhard,IND,PG SG,121.2
Cason Wallace,OKC,PG SG SF,114.1
Fred VanVleet,HOU,PG,120.6
Collin Murray-Boyles,TOR,PF C,120.8
Jaime Jaquez Jr.,MIL,SG SF PF,105.1
Peyton Watson,CLE,SF PF,115.7
Brandin Podziemski,GS,PG SG,114.1
Kyshawn George,WAS,SG SF PF,111.7
Jusuf Nurkic,UTA,C,118.0
Darius Acuff Jr.,SAC,PG,110.5
Nate Ament,MIL,SF,115.3
Egor Demin,BKN,PG SG,121.1
Ace Bailey,UTA,SF PF,116.8
Sandro Mamukelashvili,LAL,PF C,115.1
Aaron Gordon,DEN,PF C,112.1
Anthony Black,ORL,PG SG SF,119.2
Jeremiah Fears,NO,PG SG,117.1
Maxime Raynaud,SAC,C,120.8
P.J. Washington,DAL,PF C,119.3
