name,team,pos,adp
Nikola Jokic,DEN,C,2.9
Victor Wembanyama,SA,C,1.9
Shai Gilgeous-Alexander,OKC,PG,6.5
Luka Doncic,LAL,"PG,SG",5.0
Tyrese Maxey,PHI,PG,11.7
Cade Cunningham,DET,"PG,SG",9.0
Giannis Antetokounmpo,MIA,"PF,C",13.0
Jalen Johnson,ATL,"SF,PF",17.2
Donovan Mitchell,CLE,"SG,PG",20.7
Anthony Edwards,MIN,"PG,SG",16.1
Cooper Flagg,DAL,"SG,SF,PF",11
Jayson Tatum,BOS,"PF,SF",13.0
Amen Thompson,HOU,"PG,SG",28.9
Scottie Barnes,TOR,"SF,PF,C",14.0
Jamal Murray,DEN,PG,18.7
Alperen Sengun,HOU,"PF,C",18.1
Karl-Anthony Towns,NY,"C,PF",15.2
Kevin Durant,HOU,"SG,SF,PF",15.5
Mikal Bridges,NY,"SF,PF",76.1
Tyrese Haliburton,IND,"PG,SG",23.5
James Harden,CLE,"PG,SG",38.3
Jaylen Brown,PHI,"SG,SF,PF",32.3
Chet Holmgren,OKC,"C,PF",21.1
Kawhi Leonard,TOR,"SG,SF,PF",19.8
Jalen Duren,DET,C,31.4
Evan Mobley,CLE,"PF,C",32.2
Deni Avdija,POR,"SG,SF,PF",34.9
Devin Booker,PHO,"PG,SG",31.6
Pascal Siakam,IND,"PF,C",47.5
Paolo Banchero,ORL,PF,37.2
Trey Murphy III,NO,"SF,SG",36.0
Stephon Castle,SA,"PG,SG",56.2
Kon Knueppel,CHA,"SG,SF",37.1
Kyrie Irving,DAL,PG,48.8
Josh Giddey,CHI,"PG,SG",29.7
VJ Edgecombe,PHI,"PG,SG",66.4
Jalen Brunson,NY,PG,22.9
Austin Reaves,LAL,"SG,PG,SF",22.4
Jalen Williams,OKC,"SF,PF",44.9
Darius Garland,LAC,PG,58.3
Domantas Sabonis,SAC,"C,PF",35.0
Keyonte George,UTA,"PG,SG",52.5
Anthony Davis,WAS,"C,PF",25.0
Lauri Markkanen,UTA,"PF,SF",43.7
LeBron James,PHI,"SF,PF",41.2
Paul George,BOS,"SF,PF",79.6
Dejounte Murray,NO,PG,66.6
Michael Porter Jr.,BKN,"SF,PF",68.0
Matas Buzelis,CHI,"SF,PF",58.5
AJ Green,MIL,"PG,SG,SF",49.8
Ja Morant,POR,PG,91.1
Brandon Miller,CHA,"SF,PF",49.6
Trae Young,WAS,PG,26.6
Nickeil Alexander-Walker,ATL,"PG,SG",59.4
Alex Sarr,WAS,C,60.8
Stephen Curry,GS,PG,23.7
Zion Williamson,NO,"PF,C",70.4
Jaren Jackson Jr.,UTA,"C,PF",54.7
LaMelo Ball,MIN,PG,22.8
Bam Adebayo,MIA,"C,PF",33.6
De'Aaron Fox,SA,PG,81.7
Desmond Bane,ORL,"SG,SF",55.0
Franz Wagner,ORL,"SF,PF",53.6
Derrick White,BOS,"PG,SG",45.2
Joel Embiid,PHI,C,48.2
Devin Vassell,SA,"SG,SF",116.4
Tyler Herro,MIL,"PG,SG",61.7
Rudy Gobert,MIN,C,76.2
Myles Turner,MIL,C,95.6
Jarrett Allen,CLE,C,78.2
Deandre Ayton,WAS,C,118.3
Damian Lillard,POR,PG,71.7
Ivica Zubac,IND,C,67.9
Nic Claxton,CHI,C,95.1
Walker Kessler,LAL,C,29.6
Mark Williams,PHO,C,103.0
Onyeka Okongwu,ATL,C,56.6
Jaden McDaniels,MIN,SF,78.3
Naz Reid,CHA,"C,PF",65.3
Julius Randle,BKN,PF,63.7
Derik Queen,NO,"PF,C",80.8
Aaron Gordon,DEN,"PF,C",111.3
Jabari Smith Jr.,HOU,"PF,C",97.5
Keegan Murray,SAC,"PF,SF",121.6
Aday Mara,OKC,C,84.8
Tari Eason,HOU,"SG,SF,PF",null
Al Horford,GS,"PF,C",86.6
Luke Kennard,PHO,"SG,SF",87.5
Luguentz Dort,ATL,"SG,SF",null
Alex Caruso,OKC,"SG,SF",92.6
Dyson Daniels,ATL,"SG,SF",62.9
Andre Drummond,NY,C,91.7
Day'Ron Sharpe,BKN,C,91.9
Moussa Diabate,CHA,C,93.5
Jalen Suggs,ORL,"PG,SG",108.3
Ty Jerome,MEM,"PG,SG",95.7
Duncan Robinson,DET,"SG,SF",96.3
Allen Graves,TOR,PF,98.4
Anfernee Simons,PHI,"PG,SG",116.8
Cedric Coward,MEM,"SG,SF",100.4
Coby White,CHA,"PG,SG",86.8
Immanuel Quickley,TOR,"PG,SG",99.1
Scoot Henderson,POR,PG,null
Reed Sheppard,HOU,"PG,SG",115.8
Jared McCain,OKC,"PG,SG",102.8
Brandin Podziemski,GS,"SG,PG",114.1
Malik Monk,SAC,"SG,PG",null
Cam Thomas,BKN,SG,null
Norman Powell,CHI,"SG,SF",93.8
Sam Hauser,BOS,"SF,PF",109.6
Kelly Oubre Jr.,IND,"SF,PF",110.8
CJ McCollum,ATL,"PG,SG",111.1
Ajay Mitchell,OKC,"PG,SG",111.7
Draymond Green,GS,"PF,C",113.4
Ryan Kalkbrenner,CHA,C,114.3
Sandro Mamukelashvili,LAL,"PF,C",115
Peyton Watson,CLE,"SF,PF",115.3
Yaxel Lendeborg,GS,PF,115.8
Kevin Porter Jr.,MIL,"PG,SG",116.4
Jrue Holiday,POR,"PG,SG",116.7
Julian Champagnie,SA,"SF,PF",118
Christian Braun,DEN,"SG,SF,PF",118.5
Collin Sexton,LAL,"PG,SG",118.5
Egor Demin,BKN,"PG,SG",121
Paul Reed,DET,"PF,C",122.3
Morez Johnson Jr.,DAL,PF,123
Jonathan Kuminga,MIN,"SF,PF",123.3
OG Anunoby,NY,"SF,PF",61.6
Miles Bridges,PHO,PF,98.1
Andrew Wiggins,MIA,"SG,SF,PF",110.3
Jimmy Butler,GS,"SF,PF",120.2
Brandon Ingram,LAC,"SG,SF,PF",74.4
DeMar DeRozan,DEN,"SF,PF",116.4
Khris Middleton,WAS,"SF,PF",null
Tobias Harris,SA,PF,122.7
Jerami Grant,MEM,"PF,SF",null
Kyle Kuzma,MIL,"PF,SF",118.6
